,Symbol,Name,Score
2049,EPHB3,EPH receptor B3,2.823
55897,MESP1,mesoderm posterior 1 homolog (mouse),2.814
111,ADCY5,adenylate cyclase 5,2.776
1392,CRH,corticotropin releasing hormone,2.749
54097,FAM3B,"family with sequence similarity 3, member B",2.73
89872,AQP10,aquaporin 10,2.709
1890,TYMP,thymidine phosphorylase,2.689
5100,PCDH8,protocadherin 8,2.647
148398,SAMD11,sterile alpha motif domain containing 11,2.622
5878,RAB5C,"RAB5C, member RAS oncogene family",2.617
9028,RHBDL1,"rhomboid, veinlet-like 1 (Drosophila)",2.602
5625,PRODH,proline dehydrogenase (oxidase) 1,2.589
2878,GPX3,glutathione peroxidase 3 (plasma),2.578
56134,PCDHAC2,"protocadherin alpha subfamily C, 2",2.558
1958,EGR1,early growth response 1,2.547
9564,BCAR1,breast cancer anti-estrogen resistance 1,2.542
55815,TSNAXIP1,translin-associated factor X interacting protein 1,2.54
10908,PNPLA6,patatin-like phospholipase domain containing 6,2.531
27173,SLC39A1,"solute carrier family 39 (zinc transporter), member 1",2.523
23761,PISD,phosphatidylserine decarboxylase,2.51
114088,TRIM9,tripartite motif containing 9,2.501
22978,NT5C2,"5'-nucleotidase, cytosolic II",2.491
541468,LURAP1,leucine rich adaptor protein 1,2.482
55194,EVA1B,eva-1 homolog B (C. elegans),2.474
6271,S100A1,S100 calcium binding protein A1,2.467
221476,PI16,peptidase inhibitor 16,2.447
402682,UFSP1,UFM1-specific peptidase 1 (non-functional),2.443
29114,TAGLN3,transgelin 3,2.431
345222,MSANTD1,Myb/SANT-like DNA-binding domain containing 1,2.425
101928243,LOC101928243,uncharacterized LOC101928243,2.425
126003,TRAPPC5,trafficking protein particle complex 5,2.42
343990,KIAA1211L,KIAA1211-like,2.418
160728,SLC5A8,"solute carrier family 5 (sodium/monocarboxylate cotransporter), member 8",2.407
967,CD63,CD63 molecule,2.406
10297,APC2,adenomatosis polyposis coli 2,2.402
165100,C2orf57,chromosome 2 open reading frame 57,2.4
9114,ATP6V0D1,"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1",2.384
5697,PYY,peptide YY,2.376
55147,RBM23,RNA binding motif protein 23,2.342
127841,LINC00628,long intergenic non-protein coding RNA 628,2.336
10928,RALBP1,ralA binding protein 1,2.33
2785,GNG3,"guanine nucleotide binding protein (G protein), gamma 3",2.329
5341,PLEK,pleckstrin,2.327
114984,FLYWCH2,FLYWCH family member 2,2.319
79778,MICALL2,MICAL-like 2,2.318
760,CA2,carbonic anhydrase II,2.314
55041,PLEKHB2,"pleckstrin homology domain containing, family B (evectins) member 2",2.314
7832,BTG2,"BTG family, member 2",2.312
80152,CENPT,centromere protein T,2.307
284576,LEMD1-AS1,LEMD1 antisense RNA 1,2.306
60685,ZFAND3,"zinc finger, AN1-type domain 3",2.305
212,ALAS2,"aminolevulinate, delta-, synthase 2",2.293
374882,TMEM205,transmembrane protein 205,2.282
4881,NPR1,natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A),2.281
3017,HIST1H2BD,"histone cluster 1, H2bd",2.275
80831,APOL5,"apolipoprotein L, 5",2.274
79927,FAM110D,"family with sequence similarity 110, member D",2.273
3485,IGFBP2,"insulin-like growth factor binding protein 2, 36kDa",2.272
119385,AGAP11,ankyrin repeat and GTPase domain Arf GTPase activating protein 11,2.27
899,CCNF,cyclin F,2.263
26251,KCNG2,"potassium voltage-gated channel, subfamily G, member 2",2.263
101928999,LOC101928999,uncharacterized LOC101928999,2.26
58488,PCTP,phosphatidylcholine transfer protein,2.256
79908,BTNL8,butyrophilin-like 8,2.255
1536,CYBB,"cytochrome b-245, beta polypeptide",2.253
5819,PVRL2,poliovirus receptor-related 2 (herpesvirus entry mediator B),2.245
23612,PHLDA3,"pleckstrin homology-like domain, family A, member 3",2.24
9810,RNF40,"ring finger protein 40, E3 ubiquitin protein ligase",2.239
7165,TPD52L2,tumor protein D52-like 2,2.236
10695,CNPY3,canopy FGF signaling regulator 3,2.234
5724,PTAFR,platelet-activating factor receptor,2.228
10880,ACTL7B,actin-like 7B,2.223
1796,DOK1,"docking protein 1, 62kDa (downstream of tyrosine kinase 1)",2.222
381,ARF5,ADP-ribosylation factor 5,2.22
8512,MBL1P,"mannose-binding lectin (protein A) 1, pseudogene",2.217
643072,LOC643072,uncharacterized LOC643072,2.206
128602,C20orf85,chromosome 20 open reading frame 85,2.197
10956,OS9,"osteosarcoma amplified 9, endoplasmic reticulum lectin",2.196
5190,PEX6,peroxisomal biogenesis factor 6,2.192
4923,NTSR1,neurotensin receptor 1 (high affinity),2.191
345757,FAM174A,"family with sequence similarity 174, member A",2.189
57701,NCKAP5L,NCK-associated protein 5-like,2.182
57572,DOCK6,dedicator of cytokinesis 6,2.181
255426,RASGEF1C,"RasGEF domain family, member 1C",2.178
2919,CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",2.174
28778,IGLV6-57,immunoglobulin lambda variable 6-57,2.173
7122,CLDN5,claudin 5,2.17
79065,ATG9A,autophagy related 9A,2.169
4947,OAZ2,ornithine decarboxylase antizyme 2,2.168
7090,TLE3,"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)",2.166
266,AMELY,"amelogenin, Y-linked",2.163
