#gene	symbol	name
1	A1BG	alpha-1-B glycoprotein
2	A2M	alpha-2-macroglobulin
3	A2MP1	alpha-2-macroglobulin pseudogene 1
9	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
10	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)
11	NATP	N-acetyltransferase pseudogene
12	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
13	AADAC	arylacetamide deacetylase
14	AAMP	angio-associated, migratory cell protein
15	AANAT	aralkylamine N-acetyltransferase
16	AARS	alanyl-tRNA synthetase
17	AAVS1	adeno-associated virus integration site 1
18	ABAT	4-aminobutyrate aminotransferase
19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
20	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2
21	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3
22	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7
23	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1
24	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4
25	ABL1	c-abl oncogene 1, non-receptor tyrosine kinase
26	AOC1	amine oxidase, copper containing 1
27	ABL2	c-abl oncogene 2, non-receptor tyrosine kinase
28	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
29	ABR	active BCR-related
30	ACAA1	acetyl-CoA acyltransferase 1
31	ACACA	acetyl-CoA carboxylase alpha
32	ACACB	acetyl-CoA carboxylase beta
33	ACADL	acyl-CoA dehydrogenase, long chain
34	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
35	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain
36	ACADSB	acyl-CoA dehydrogenase, short/branched chain
37	ACADVL	acyl-CoA dehydrogenase, very long chain
38	ACAT1	acetyl-CoA acetyltransferase 1
39	ACAT2	acetyl-CoA acetyltransferase 2
40	ASIC2	acid-sensing (proton-gated) ion channel 2
41	ASIC1	acid-sensing (proton-gated) ion channel 1
43	ACHE	acetylcholinesterase
46	ACLS	acrocallosal syndrome
47	ACLY	ATP citrate lyase
48	ACO1	aconitase 1, soluble
49	ACR	acrosin
50	ACO2	aconitase 2, mitochondrial
51	ACOX1	acyl-CoA oxidase 1, palmitoyl
52	ACP1	acid phosphatase 1, soluble
53	ACP2	acid phosphatase 2, lysosomal
54	ACP5	acid phosphatase 5, tartrate resistant
55	ACPP	acid phosphatase, prostate
56	ACRV1	acrosomal vesicle protein 1
58	ACTA1	actin, alpha 1, skeletal muscle
59	ACTA2	actin, alpha 2, smooth muscle, aorta
60	ACTB	actin, beta
62	ACTBP2	actin, beta pseudogene 2
