,Symbol,Name,Score
25914,RTTN,rotatin,-3.195
644246,KANSL1-AS1,KANSL1 antisense RNA 1,-3.107
100507277,LOC100507277,uncharacterized LOC100507277,-3.036
140690,CTCFL,CCCTC-binding factor (zinc finger protein)-like,-2.982
100507246,SNHG16,small nucleolar RNA host gene 16 (non-protein coding),-2.827
101929569,LOC101929569,uncharacterized LOC101929569,-2.8
165829,GPR156,G protein-coupled receptor 156,-2.784
440078,FAM66C,"family with sequence similarity 66, member C",-2.756
284185,LINC00482,long intergenic non-protein coding RNA 482,-2.724
125170,MIEF2,mitochondrial elongation factor 2,-2.686
87769,GGACT,gamma-glutamylamine cyclotransferase,-2.625
136051,ZNF786,zinc finger protein 786,-2.595
126382,NR2C2AP,nuclear receptor 2C2-associated protein,-2.583
252983,STXBP4,syntaxin binding protein 4,-2.579
2844,GPR21,G protein-coupled receptor 21,-2.533
133746,JMY,"junction mediating and regulatory protein, p53 cofactor",-2.516
222696,ZSCAN23,zinc finger and SCAN domain containing 23,-2.499
2006,ELN,elastin,-2.498
100874035,PLCH1-AS1,PLCH1 antisense RNA 1,-2.477
8994,LIMD1,LIM domains containing 1,-2.468
9173,IL1RL1,interleukin 1 receptor-like 1,-2.449
158434,LOC158434,uncharacterized LOC158434,-2.439
101929760,LOC101929760,uncharacterized LOC101929760,-2.43
6137,RPL13,ribosomal protein L13,-2.427
55013,CCDC109B,coiled-coil domain containing 109B,-2.412
83897,KRTAP3-2,keratin associated protein 3-2,-2.405
6013,RLN1,relaxin 1,-2.401
148109,FAM187B,"family with sequence similarity 187, member B",-2.39
79690,GAL3ST4,galactose-3-O-sulfotransferase 4,-2.39
126433,FBXO27,F-box protein 27,-2.376
100128782,LINC00476,long intergenic non-protein coding RNA 476,-2.373
4552,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,-2.364
22847,ZNF507,zinc finger protein 507,-2.362
5655,KLK10,kallikrein-related peptidase 10,-2.355
4225,MEP1B,"meprin A, beta",-2.342
2178,FANCE,"Fanconi anemia, complementation group E",-2.329
55760,DHX32,DEAH (Asp-Glu-Ala-His) box polypeptide 32,-2.328
100506351,LOC100506351,uncharacterized LOC100506351,-2.328
101927432,LOC101927432,uncharacterized LOC101927432,-2.321
7840,ALMS1,Alstrom syndrome 1,-2.316
26248,OR2K2,"olfactory receptor, family 2, subfamily K, member 2",-2.316
283875,LINC00514,long intergenic non-protein coding RNA 514,-2.314
101927152,LOC101927152,uncharacterized LOC101927152,-2.312
84273,NOA1,nitric oxide associated 1,-2.306
23242,COBL,cordon-bleu WH2 repeat protein,-2.304
9167,COX7A2L,cytochrome c oxidase subunit VIIa polypeptide 2 like,-2.299
3000,GUCY2D,"guanylate cyclase 2D, membrane (retina-specific)",-2.288
57685,CACHD1,cache domain containing 1,-2.287
84311,MRPL45,mitochondrial ribosomal protein L45,-2.283
9710,KIAA0355,KIAA0355,-2.277
645323,LINC00461,long intergenic non-protein coding RNA 461,-2.276
4675,NAP1L3,nucleosome assembly protein 1-like 3,-2.274
1039,CDR2,"cerebellar degeneration-related protein 2, 62kDa",-2.271
7976,FZD3,frizzled family receptor 3,-2.261
2619,GAS1,growth arrest-specific 1,-2.253
79841,AGBL2,ATP/GTP binding protein-like 2,-2.248
26751,SH3YL1,SH3 and SYLF domain containing 1,-2.242
29911,HOOK2,hook microtubule-tethering protein 2,-2.24
255022,CALHM1,calcium homeostasis modulator 1,-2.215
2926,GRSF1,G-rich RNA sequence binding factor 1,-2.208
101927210,LOC101927210,uncharacterized LOC101927210,-2.204
167691,LCA5,Leber congenital amaurosis 5,-2.202
171392,ZNF675,zinc finger protein 675,-2.193
144577,C12orf66,chromosome 12 open reading frame 66,-2.179
101928054,LOC101928054,uncharacterized LOC101928054,-2.178
101927907,LOC101927907,uncharacterized LOC101927907,-2.177
339804,C2orf74,chromosome 2 open reading frame 74,-2.169
8398,PLA2G6,"phospholipase A2, group VI (cytosolic, calcium-independent)",-2.167
10424,PGRMC2,progesterone receptor membrane component 2,-2.162
56984,PSMG2,"proteasome (prosome, macropain) assembly chaperone 2",-2.159
51096,UTP18,UTP18 small subunit (SSU) processome component homolog (yeast),-2.157
63931,MRPS14,mitochondrial ribosomal protein S14,-2.154
30832,ZNF354C,zinc finger protein 354C,-2.153
84456,L3MBTL3,l(3)mbt-like 3 (Drosophila),-2.152
101928614,LOC101928614,uncharacterized LOC101928614,-2.152
7678,ZNF124,zinc finger protein 124,-2.147
340390,KIAA1875,KIAA1875,-2.141
7134,TNNC1,troponin C type 1 (slow),-2.141
64399,HHIP,hedgehog interacting protein,-2.137
101927040,LOC101927040,uncharacterized LOC101927040,-2.134
400713,ZNF880,zinc finger protein 880,-2.133
9575,CLOCK,clock circadian regulator,-2.129
285440,CYP4V2,"cytochrome P450, family 4, subfamily V, polypeptide 2",-2.129
10655,DMRT2,doublesex and mab-3 related transcription factor 2,-2.126
253039,PSMD5-AS1,PSMD5 antisense RNA 1 (head to head),-2.118
57176,VARS2,"valyl-tRNA synthetase 2, mitochondrial",-2.105
1745,DLX1,distal-less homeobox 1,-2.098
123036,TC2N,"tandem C2 domains, nuclear",-2.098
1856,DVL2,dishevelled segment polarity protein 2,-2.096
84899,TMTC4,transmembrane and tetratricopeptide repeat containing 4,-2.093
6047,RNF4,ring finger protein 4,-2.092
29914,UBIAD1,UbiA prenyltransferase domain containing 1,-2.092
25875,LETMD1,LETM1 domain containing 1,-2.09
23078,VWA8,von Willebrand factor A domain containing 8,-2.086
8464,SUPT3H,suppressor of Ty 3 homolog (S. cerevisiae),-2.084
10529,NEBL,nebulette,-2.08
53339,BTBD1,BTB (POZ) domain containing 1,-2.077
23394,ADNP,activity-dependent neuroprotector homeobox,-2.074
346606,MOGAT3,monoacylglycerol O-acyltransferase 3,-2.074
29851,ICOS,inducible T-cell co-stimulator,-2.073
285331,CCDC66,coiled-coil domain containing 66,-2.071
1936,EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),-2.068
55556,ENOSF1,enolase superfamily member 1,-2.067
54681,P4HTM,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)",-2.064
54960,GEMIN8,gem (nuclear organelle) associated protein 8,-2.06
51727,CMPK1,"cytidine monophosphate (UMP-CMP) kinase 1, cytosolic",-2.059
29078,NDUFAF4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4",-2.049
23671,TMEFF2,transmembrane protein with EGF-like and two follistatin-like domains 2,-2.049
10314,LANCL1,LanC lantibiotic synthetase component C-like 1 (bacterial),-2.046
55335,NIPSNAP3B,nipsnap homolog 3B (C. elegans),-2.044
124995,MRPL10,mitochondrial ribosomal protein L10,-2.041
51460,SFMBT1,Scm-like with four mbt domains 1,-2.041
55623,THUMPD1,THUMP domain containing 1,-2.04
9397,NMT2,N-myristoyltransferase 2,-2.039
23545,ATP6V0A2,"ATPase, H+ transporting, lysosomal V0 subunit a2",-2.037
55768,NGLY1,N-glycanase 1,-2.036
3442,IFNA5,"interferon, alpha 5",-2.032
26689,OR4D1,"olfactory receptor, family 4, subfamily D, member 1",-2.03
55329,MNS1,meiosis-specific nuclear structural 1,-2.028
10962,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",-2.027
26520,TIMM9,translocase of inner mitochondrial membrane 9 homolog (yeast),-2.026
338785,KRT79,keratin 79,-2.02
6843,VAMP1,vesicle-associated membrane protein 1 (synaptobrevin 1),-2.019
1630,DCC,deleted in colorectal carcinoma,-2.018
29063,ZCCHC4,"zinc finger, CCHC domain containing 4",-2.017
100507316,LOC100507316,uncharacterized LOC100507316,-2.016
53938,PPIL3,peptidylprolyl isomerase (cyclophilin)-like 3,-2.008
144453,BEST3,bestrophin 3,-2.006
8799,PEX11B,peroxisomal biogenesis factor 11 beta,-2.005
5019,OXCT1,3-oxoacid CoA transferase 1,-2.004
2005,ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",-2.004
55552,ZNF823,zinc finger protein 823,-2.004
10557,RPP38,ribonuclease P/MRP 38kDa subunit,-2.001
23230,VPS13A,vacuolar protein sorting 13 homolog A (S. cerevisiae),-1.999
57504,MTA3,"metastasis associated 1 family, member 3",-1.998
79664,NARG2,NMDA receptor regulated 2,-1.996
1840,DTX1,deltex homolog 1 (Drosophila),-1.994
170622,COMMD6,COMM domain containing 6,-1.991
84705,GTPBP3,GTP binding protein 3 (mitochondrial),-1.99
57125,PLXDC1,plexin domain containing 1,-1.989
114915,EPB41L4A-AS1,EPB41L4A antisense RNA 1,-1.988
57613,KIAA1467,KIAA1467,-1.988
442075,EMC3-AS1,EMC3 antisense RNA 1,-1.987
2043,EPHA4,EPH receptor A4,-1.984
5463,POU6F1,POU class 6 homeobox 1,-1.984
3212,HOXB2,homeobox B2,-1.983
100499467,LINC00673,long intergenic non-protein coding RNA 673,-1.981
23416,KCNH3,"potassium voltage-gated channel, subfamily H (eag-related), member 3",-1.979
7294,TXK,TXK tyrosine kinase,-1.978
79871,RPAP2,RNA polymerase II associated protein 2,-1.974
1939,EIF2D,eukaryotic translation initiation factor 2D,-1.972
